City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
Vieira de Leiria,39.8695,-8.9324,18.01,90,0,0.87,PT,1659941533
Shellbrook,53.2168,-106.4011,13.57,84,0,3.05,CA,1659941534
Padang,-0.9492,100.3543,31.03,69,50,2.7,ID,1659941536
Ternate,0.8,127.4,27.91,73,22,2.62,ID,1659941538
Neuquén,-38.9516,-68.0591,3.94,93,100,1.03,AR,1659941318
Kupang,-10.1667,123.5833,29.84,57,5,2.22,ID,1659941540
Palanga,55.9175,21.0686,18.01,72,20,2.06,LT,1659941542
Alihe,50.5667,123.7167,23.4,30,98,5.65,CN,1659941446
Dum Duma,27.5667,95.5667,35.17,57,84,0.79,IN,1659941545
Valkeala,60.9401,26.7979,16.84,67,0,1.03,FI,1659941546
Bentiu,9.2333,29.8333,24.52,86,100,2.47,SS,1659941548
Marovoay,-16.1,46.6333,27.04,38,0,3.32,MG,1659941550
Durazno,-33.4131,-56.5006,3.87,95,0,3.5,UY,1659941551
Omaruru,-21.4333,15.9333,18.73,29,1,2.09,NA,1659941553
Havelock,34.8791,-76.9013,28.99,89,1,0.45,US,1659941449
Mmabatho,-25.85,25.6333,9.98,53,0,3.6,ZA,1659941556
Dicabisagan,17.0818,122.4157,25.71,91,100,3.81,PH,1659941557
Anloga,5.7947,0.8973,23.83,80,96,6.26,GH,1659941559
La Ronge,55.1001,-105.2842,20.12,68,0,3.09,CA,1659941560
Westport,41.1415,-73.3579,26.9,86,0,4.12,US,1659941376
Calama,-22.4667,-68.9333,6.32,20,0,2.78,CL,1659941563
São José da Coroa Grande,-8.8978,-35.1478,24.04,63,98,3.97,BR,1659941535
Sabla,12.7525,4.7077,25.73,78,100,5.28,NG,1659941566
Yulara,-25.2406,130.9889,22.58,19,52,6.47,AU,1659941568
Colón,9.3592,-79.9014,25.2,94,85,1.34,PA,1659941334
Mariakani,-3.8633,39.4736,22.05,61,88,5.03,KE,1659941571
Ostrovnoy,68.0531,39.5131,14.34,58,15,6.41,RU,1659941573
Grindavik,63.8424,-22.4338,10.26,87,100,7.2,IS,1659941574
Celendín,-6.8703,-78.1517,11.16,87,53,1.55,PE,1659941576
Suihua,46.6406,126.9969,23.59,46,0,6.63,CN,1659941577
Jumla,29.2747,82.1838,25.29,58,72,2.57,NP,1659941579
Poum,-20.2333,164.0167,23.92,73,0,8.27,NC,1659941580
Asău,46.4333,26.4,24.97,71,19,1.95,RO,1659941582
Amontada,-3.3617,-39.8317,22.52,90,1,2.83,BR,1659941583
Honiara,-9.4333,159.95,26.7,82,95,1.05,SB,1659941395
Imeni Poliny Osipenko,52.4201,136.4853,13.6,93,100,2.59,RU,1659941587
Laguna,38.421,-121.4238,21.92,70,0,4.12,US,1659941589
Khatassy,61.9036,129.6383,21.99,56,95,3.2,RU,1659941590
Omagh,54.6,-7.3,11.84,89,91,1.11,GB,1659941410
Zhangye,38.9342,100.4517,27.73,31,93,7.53,CN,1659941593
Giohar,2.7809,45.5005,28.87,48,59,9.24,SO,1659941595
Xicoténcatl,23.0167,-98.8833,23.17,89,3,0.79,MX,1659941596
Port Hardy,50.6996,-127.4199,16.1,88,0,2.06,CA,1659941598
Basco,20.4487,121.9702,29.24,75,100,8.92,PH,1659941600
Issoire,45.55,3.25,17.59,41,0,0.66,FR,1659941601
Sibolga,1.7427,98.7792,29.97,59,84,2.51,ID,1659941604
Guerrero Negro,27.9769,-114.0611,23.38,80,50,2.01,MX,1659941605
Darnah,32.767,22.6367,28.08,66,0,7.96,LY,1659941607
Anaconda,46.1285,-112.9423,15.21,30,0,2.26,US,1659941608
Dunedin,-45.8742,170.5036,4.89,66,100,1.79,NZ,1659941567
Deer Lake,49.1667,-57.4316,18.92,77,75,4.63,CA,1659941611
Khandyga,62.6667,135.6,20.92,57,94,0.87,RU,1659941613
Tatarskaya Pishlya,54.0608,44.8998,27.07,42,6,1.03,RU,1659941614
Kiruna,67.8557,20.2251,10.51,66,91,4.63,SE,1659941616
Khakhea,-24.6895,23.494,14.23,39,0,3.75,BW,1659941618
Angoram,-4.0625,144.0661,28.78,75,94,2.86,PG,1659941619
Kimberley,-28.7323,24.7623,5.83,87,0,3.6,ZA,1659941621
Pitimbu,-7.4706,-34.8086,21.33,70,70,5.73,BR,1659941623
Zhaoyuan,37.3592,120.3964,25.61,95,100,2.89,CN,1659941625
Sabzawār,36.2126,57.6819,31.6,22,0,8.23,IR,1659941626
Amparafaravola,-17.5833,48.2167,18.36,61,43,2.87,MG,1659941628
Karachi,24.9056,67.0822,32.9,66,75,2.06,PK,1659941524
Petropavlovsk-Kamchatskiy,53.0452,158.6483,17.1,72,20,7,RU,1659941632
Polovinnoye,54.7914,65.9864,23.38,49,100,5.18,RU,1659941634
Puerto Carreño,6.189,-67.4859,24.35,89,15,1.68,CO,1659941635
Bonfim,3.0833,-59.95,24.35,76,4,1.66,BR,1659941637
Gonbad-e Kāvūs,37.25,55.1672,30.53,55,83,2.85,IR,1659941639
Melbu,68.5044,14.8297,11.88,93,100,4.63,NO,1659941640
Ulagan,50.6321,87.9563,22.71,40,84,2.03,RU,1659941642
Ankang,32.68,109.0172,40.91,32,97,1.97,CN,1659941643
Tatarsk,55.219,75.9828,22.69,53,16,6.04,RU,1659941645
Manta,-0.95,-80.7333,21.31,86,99,2.36,EC,1659941646
Shenjiamen,29.9576,122.298,29.11,79,0,8.46,CN,1659941648
Gambo,4.6482,22.2633,23.05,90,100,0.98,CF,1659941649
Arkhipo-Osipovka,44.37,38.52,28.47,48,0,9.01,RU,1659941651
Antofagasta,-23.65,-70.4,13.6,76,2,1.4,CL,1659941653
Kitgum,3.2783,32.8867,26.12,58,100,1.38,UG,1659941654
Mokhsogollokh,61.4681,128.9203,19.18,60,100,3.55,RU,1659941656
Beloha,-25.1667,45.05,23.6,52,2,6.74,MG,1659941657
Mehamn,71.0357,27.8492,9.97,87,100,8.23,NO,1659941659
Sanary-sur-Mer,43.1178,5.8001,27.56,74,5,2.68,FR,1659941660
Barcelona,41.3888,2.159,29.69,54,0,0.51,ES,1659941653
Sørland,67.667,12.6934,11.92,74,94,2.5,NO,1659941663
Bo Phloi,14.3236,99.5161,25.48,82,100,1.78,TH,1659941665
Umluj,25.0213,37.2685,33.7,58,47,5.94,SA,1659941666
Eyl,7.9803,49.8164,29.42,47,63,12.09,SO,1659941668
Mnogovershinnyy,53.9353,139.9242,14.02,98,100,2.26,RU,1659941669
Omsukchan,62.5333,155.8,20.57,61,100,4.02,RU,1659941671
Avera,33.194,-82.5271,23.08,86,55,2.41,US,1659941672
Port Hawkesbury,45.6169,-61.3485,23.97,83,75,3.6,CA,1659941674
Chunoyar,57.4467,97.3217,24.29,41,83,3.22,RU,1659941676
Qui Nhon,13.7667,109.2333,25.7,86,100,4.65,VN,1659941561
Vostok,46.4856,135.8833,19.97,91,58,2.91,RU,1659941678
Rocha,-34.4833,-54.3333,5.99,91,7,1.16,UY,1659941680
Adrar,20.5022,-10.0711,33.25,34,1,4.3,MR,1659941681
Kibre Mengist,5.8833,38.9833,15.23,79,100,2.44,ET,1659941683
Bodaybo,57.8506,114.1933,11.14,89,100,0.68,RU,1659941683
Masvingo,-20.0637,30.8277,20.54,23,0,2.33,ZW,1659941686
Bilibino,68.0546,166.4372,12.71,41,7,0.86,RU,1659941687
Garango,11.8,-0.5506,24.04,80,76,4.19,BF,1659941689
Kahramanmaraş Province,38.0,37.0,26.53,34,0,2.57,TR,1659941690
Iquitos,-3.7481,-73.2472,24.02,94,75,1.03,PE,1659941691
Puerto Madryn,-42.7692,-65.0385,6.26,91,100,1.68,AR,1659941693
Naples,40.8333,14.25,30.34,53,0,1.54,IT,1659941602
Ouadda,8.0777,22.4007,22.43,86,92,1.79,CF,1659941696
El Alto,-4.2714,-81.2147,17.08,78,6,6.58,PE,1659941697
Wajir,1.7471,40.0573,23.98,60,75,6.17,KE,1659941699
San Jerónimo,-11.9472,-75.2829,9.71,80,100,2.1,PE,1659941700
Goya,-29.14,-59.2626,12.46,88,100,3.03,AR,1659941702
Artyom,40.4723,50.333,27.08,73,100,9.21,AZ,1659941703
Redlands,34.0556,-117.1825,30.6,39,0,2.57,US,1659941454
Yarmouth,41.7057,-70.2286,25.61,88,85,2.24,US,1659941706
Comodoro Rivadavia,-45.8667,-67.5,2.92,93,100,1.03,AR,1659941708
Karratha,-20.7377,116.8463,25.6,21,5,3.94,AU,1659941709
Acarí,-15.4311,-74.6158,15.78,81,35,1.08,PE,1659941711
Riverton,40.5219,-111.9391,22.41,52,0,2.68,US,1659941712
Novaya Chigla,51.2233,40.4781,30.15,26,49,2.74,RU,1659941714
Zhuhai,22.2769,113.5678,32.84,94,40,6.17,CN,1659941715
Port-Gentil,-0.7193,8.7815,22.98,83,100,3.6,GA,1659941717
Baykit,61.67,96.37,22.27,52,48,2.09,RU,1659941718
Vila Velha,-20.3297,-40.2925,23.97,89,20,4.12,BR,1659941720
Asino,56.9979,86.1452,21.42,61,100,2.98,RU,1659941721
Berkakit,56.5807,124.7681,10.71,97,100,3.44,RU,1659941723
Mitsamiouli,-11.3847,43.2844,26.16,61,40,9.77,KM,1659941724
Edson,53.5835,-116.4356,15.08,82,0,2.06,CA,1659941589
Sigli,5.3848,95.9609,30.6,57,45,3.52,ID,1659941727
Reconquista,-29.15,-59.65,12.35,89,100,3.28,AR,1659941728
Tolstoy-Yurt,43.4444,45.7722,24.18,57,0,4,RU,1659941730
Talaya,61.3833,152.75,25.44,31,13,7.57,RU,1659941731
Sinjār,36.3209,41.8754,33.3,21,0,4.29,IQ,1659941733
Khromtau,50.2503,58.4347,26,42,50,6.44,KZ,1659941734
Margate,51.3813,1.3862,19.27,88,35,3.01,GB,1659941437
São João da Barra,-21.6403,-41.0511,21.25,93,20,1.54,BR,1659941737
Bubaque,11.2833,-15.8333,25.97,82,100,2.74,GW,1659941739
Ugoofaaru,5.6667,73.0,27.41,80,100,6.72,MV,1659941740
Bridgetown,13.1,-59.6167,27.27,83,75,7.2,BB,1659941735
Benjamin Constant,-4.3831,-70.0311,25.07,99,100,0.12,BR,1659941743
Angoche,-16.2325,39.9086,24.89,55,0,2.49,MZ,1659941744
Cururupu,-1.8283,-44.8683,23.34,94,25,1.82,BR,1659941746
Biryusinsk,55.9634,97.8235,24.94,37,0,1.1,RU,1659941747
Muzhi,65.3667,64.6667,29.78,33,5,5.25,RU,1659941749
Shache,38.4167,77.2406,30.59,32,44,5.28,CN,1659941750
Muli,2.9167,73.5667,27.66,77,100,4.89,MV,1659941752
Mayo,38.8876,-76.5119,27.19,90,0,0.89,US,1659941754
Harper,4.375,-7.7169,23.03,77,100,2.82,LR,1659941755
Praia,14.9215,-23.5087,25.3,94,75,3.6,CV,1659941757
Āreka,7.0667,37.7,19.87,76,100,1.74,ET,1659941758
Harsūd,22.1,76.7333,30.44,71,99,3.16,IN,1659941760
Korem,12.5058,39.5228,13.95,82,100,2.37,ET,1659941762
Pangody,65.85,74.4859,29.06,37,0,4.37,RU,1659941763
Labé,11.3182,-12.2833,18.01,98,82,1.4,GN,1659941710
Irituia,-1.7711,-47.4381,21.22,99,33,1.19,BR,1659941766
High Rock,26.6208,-78.2833,28.31,71,21,5.29,BS,1659941768
Nadym,65.5333,72.5167,29.45,39,54,5.44,RU,1659941770
Sironj,24.1,77.7,30.64,66,90,5.27,IN,1659941771
Katangli,51.7102,143.2326,11.8,98,100,9.56,RU,1659941773
Nipawin,53.3668,-104.0009,15.02,100,0,3.09,CA,1659941774
Marrakesh,31.6315,-8.0083,19.04,82,0,2.06,MA,1659941776
Luangwa,-15.6167,30.4167,22.88,43,0,2.32,ZM,1659941777
Rawson,-43.3002,-65.1023,5.89,92,100,1.55,AR,1659941779
Dafeng,23.4517,108.5881,34.57,49,32,3.17,CN,1659941781
Ottawa,45.4112,-75.6981,22.16,95,75,3.6,CA,1659941629
Lagos de Moreno,21.35,-101.9167,14.04,88,80,2.14,MX,1659941784
Paita,-5.0892,-81.1144,16.89,84,7,5.98,PE,1659941785
Krasnoufimsk,56.6059,57.7669,27.34,48,42,1.8,RU,1659941787
Lagunas,-5.2269,-75.6753,24.84,75,100,0.78,PE,1659941788
Biltine,14.5333,20.9167,25.37,69,100,4.46,TD,1659941790
